mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.915767987569173,0.08459233540510656,0.02157290776570638,0.0013363916428292672,balanced,5,log2,0.01,5,5,300,"{'class_weight': 'balanced', 'max_depth': 5, 'max_features': 'log2', 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.7006170264055779,0.7761135217326806,0.7724280522177718,0.74971953345201,0.034753300275609536,31
1.6144197781880696,0.38395430004066056,0.08477481206258138,0.09415439605562663,balanced,5,log2,0.005,5,5,200,"{'class_weight': 'balanced', 'max_depth': 5, 'max_features': 'log2', 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.7111727673935618,0.7925173379320576,0.801445909360629,0.768378671562083,0.0406145823626792,16
14.082717895507812,0.16020575761386016,0.022893110911051433,0.0024441457919072334,balanced,5,log2,0.005,5,5,300,"{'class_weight': 'balanced', 'max_depth': 5, 'max_features': 'log2', 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.7139357105770657,0.7984349503041092,0.797477655392375,0.76994943875785,0.03960961509465511,15
14.978042682011923,0.050932598158273806,0.013181289037068685,0.0004000144797781266,balanced,8,sqrt,0.01,5,5,200,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.7065694073579588,0.7813264908767246,0.7823486871384067,0.7567481951243634,0.03548421505945755,23
9.738565365473429,4.463464358814725,0.020222902297973633,0.0012164185533881308,balanced,8,sqrt,0.01,5,5,300,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.7083402870493992,0.7794119010532562,0.7945014649161846,0.7607512176729466,0.037568630274144726,19
3.418325503667196,0.019751331345912854,0.017117420832316082,0.0022338416203420757,balanced,8,sqrt,0.005,5,5,200,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.7265057113187955,0.8140251817237798,0.8202951157098353,0.7869420029174702,0.04281150176216201,5
5.086889743804932,0.09523647228473459,0.022882541020711262,0.0014583279846146337,balanced,8,sqrt,0.005,5,5,300,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.7262576954457796,0.8095608960094941,0.8235193220590417,0.7864459711714384,0.04293934338549458,6
1.286938190460205,0.050106027293527464,0.01504826545715332,0.0011015462828476016,balanced,8,log2,0.01,5,5,200,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.6978888518024032,0.7723585150571132,0.7806125760272957,0.7502866476289375,0.03720375551145558,30
1.9496716658274333,0.04834985840227094,0.02169458071390788,0.0010182784726622011,balanced,8,log2,0.01,5,5,300,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.7023879060970183,0.7808258233199823,0.7776363855511053,0.7536167049893686,0.03624762525816958,27
1.5171645482381184,0.02254789529058612,0.017047723134358723,0.0011851011011975398,balanced,8,log2,0.005,5,5,200,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.7187523179053553,0.7962028074469664,0.820364652870494,0.7784399260742719,0.043342870388428725,12
2.4185853004455566,0.03554188627682808,0.023660739262898762,0.0017414623807819217,balanced,8,log2,0.005,5,5,300,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'log2', 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.7175122385402759,0.8061234423676013,0.8158308299955496,0.7798221703011423,0.04423764641624202,10
2.956517775853475,0.06913439430852308,0.015729427337646484,0.0033548812514548896,balanced,10,sqrt,0.01,5,5,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.7065694073579588,0.7805824432576769,0.7860689252336448,0.7577402586164267,0.03625251609663665,21
4.508948008219401,0.18461658175910015,0.025068362553914387,0.0038416692227981825,balanced,10,sqrt,0.01,5,5,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.7093323505414627,0.7823880915294467,0.7947494807892004,0.7621566409533699,0.03769177831878744,18
3.5266725222269693,0.09796662748017165,0.015449126561482748,0.0006744989655221053,balanced,10,sqrt,0.005,5,5,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.7356475300400535,0.8115102544132917,0.819055036344756,0.7887376069327005,0.037666502642256815,4
5.454576174418132,0.11835762769281982,0.022777636845906574,0.0015566215235248326,balanced,10,sqrt,0.005,5,5,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.7364611148197597,0.8135291499777482,0.8210391633288829,0.7903431427087969,0.03822350735877765,3
1.4223360220591228,0.1033782455472244,0.01700282096862793,0.002661447472415182,balanced,10,log2,0.01,5,5,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.6971448041833556,0.7731025626761608,0.7830927347574543,0.7511133672056568,0.03837885902918036,28
2.1530725161234536,0.03651256108700517,0.020467042922973633,0.0002896767094242096,balanced,10,log2,0.01,5,5,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.7033799695890818,0.7800817757009346,0.7781324172971369,0.7538647208623844,0.03570697955014808,25
1.6335523923238118,0.08524958600825336,0.01658805211385091,0.0006034928051548298,balanced,10,log2,0.005,5,5,200,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.7175817757009346,0.8031820204717401,0.820791147455867,0.7805183145428473,0.045079753617601324,9
2.2447685400644937,0.010480092097386444,0.02010313669840495,0.00013658552577139985,balanced,10,log2,0.005,5,5,300,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'log2', 'min_impurity_decrease': 0.005, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.720910287791129,0.8086731382584187,0.8178149569796765,0.7824661276764081,0.04368626237441753,7
