SNR_dB,RMSE_cfo
-1.000000000000000000e+01,3.351706897970421761e-02
-9.000000000000000000e+00,3.351706897970421761e-02
-8.000000000000000000e+00,3.351706897970421761e-02
-7.000000000000000000e+00,3.351706897970421761e-02
-6.000000000000000000e+00,3.351706897970421761e-02
-5.000000000000000000e+00,3.351706897970421761e-02
-4.000000000000000000e+00,3.351706897970421761e-02
-3.000000000000000000e+00,3.384880343662489965e-02
-2.000000000000000000e+00,3.380628125842881360e-02
-1.000000000000000000e+00,3.584371855796681522e-02
0.000000000000000000e+00,3.091284146380546619e-02
1.000000000000000000e+00,7.609642035333027098e-03
2.000000000000000000e+00,2.434712919678760565e-03
3.000000000000000000e+00,2.094381513434158230e-03
4.000000000000000000e+00,1.742693113399048201e-03
5.000000000000000000e+00,1.541124428421906511e-03
6.000000000000000000e+00,1.324033815215383113e-03
7.000000000000000000e+00,1.163979370391895639e-03
8.000000000000000000e+00,1.010933348919547435e-03
9.000000000000000000e+00,8.961201497246542571e-04
1.000000000000000000e+01,7.920645450966912931e-04
1.100000000000000000e+01,7.027659342695431830e-04
1.200000000000000000e+01,6.242057500586208627e-04
1.300000000000000000e+01,5.496768658808731060e-04
1.400000000000000000e+01,4.912149589557285355e-04
1.500000000000000000e+01,4.362180829442377310e-04
1.600000000000000000e+01,4.026263411091730296e-04
1.700000000000000000e+01,3.568896970224647480e-04
1.800000000000000000e+01,3.179575000291802846e-04
1.900000000000000000e+01,2.848338924645587591e-04
2.000000000000000000e+01,2.538211345670889118e-04
2.100000000000000000e+01,2.262069251895561879e-04
2.200000000000000000e+01,2.016129292260727089e-04
2.300000000000000000e+01,1.797048068807352811e-04
2.400000000000000000e+01,1.601865401745760904e-04
