SNR_dB,RMSE_cfo
-1.000000000000000000e+01,1.549051353625342520e-01
-9.000000000000000000e+00,1.451790372657489059e-01
-8.000000000000000000e+00,1.412385207834979950e-01
-7.000000000000000000e+00,1.208596751041913359e-01
-6.000000000000000000e+00,1.050549035464286296e-01
-5.000000000000000000e+00,7.673038667787795974e-02
-4.000000000000000000e+00,6.766098891360056156e-02
-3.000000000000000000e+00,4.194545398155279797e-02
-2.000000000000000000e+00,3.291501701224397447e-02
-1.000000000000000000e+00,2.801304598953149871e-02
0.000000000000000000e+00,2.427739583890625025e-02
1.000000000000000000e+00,2.120298584728820546e-02
2.000000000000000000e+00,1.860233684507692567e-02
3.000000000000000000e+00,1.637220779869881168e-02
4.000000000000000000e+00,1.444355083212015174e-02
5.000000000000000000e+00,1.276557494007724697e-02
6.000000000000000000e+00,1.129906168007407084e-02
7.000000000000000000e+00,1.001283000624822624e-02
8.000000000000000000e+00,8.881564289389123554e-03
9.000000000000000000e+00,7.884371002572970744e-03
1.000000000000000000e+01,7.003776906485851411e-03
1.100000000000000000e+01,6.225011683471191014e-03
1.200000000000000000e+01,5.535480351448651172e-03
1.300000000000000000e+01,4.924365833915389859e-03
1.400000000000000000e+01,4.382323127323366728e-03
1.500000000000000000e+01,3.901239525022621221e-03
1.600000000000000000e+01,3.474043557601332304e-03
1.700000000000000000e+01,3.094550585528356868e-03
1.800000000000000000e+01,2.757336456821717161e-03
1.900000000000000000e+01,2.457632991192864290e-03
2.000000000000000000e+01,2.191240676443858941e-03
2.100000000000000000e+01,1.954455109756791670e-03
2.200000000000000000e+01,1.744004540530837274e-03
2.300000000000000000e+01,1.556996472022700601e-03
2.400000000000000000e+01,1.390871721896810029e-03
