;Scopy version,f4beeb1
;Exported on,samedi octobre 12/10/2024
;Device,M2K
;Nr of samples,16937
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
162,0.162,0.0295605,-0.0732059
163,0.163,0.0295605,-0.0732059
164,0.164,0.0295605,-0.0732059
165,0.165,0.0295605,-0.0732059
166,0.166,0.0295605,-0.0732059
167,0.167,0.0295605,-0.0732059
168,0.168,0.0295605,-0.0732059
169,0.169,0.0295605,-0.0732059
170,0.17,0.0295605,-0.0732059
171,0.171,0.0295605,-0.0732059
172,0.172,0.0295605,-0.0732059
173,0.173,0.0295605,-0.0732059
174,0.174,0.0295605,-0.0732059
175,0.175,0.0295605,-0.0732059
176,0.176,0.0295605,-0.0732059
177,0.177,0.0295605,-0.0732059
178,0.178,0.0295605,-0.0732059
179,0.179,0.0295605,-0.0732059
180,0.18,0.0295605,-0.0732059
181,0.181,0.0295605,-0.0732059
182,0.182,0.0295605,-0.0732059
183,0.183,0.0295605,-0.0732059
184,0.184,0.0295605,-0.0732059
185,0.185,0.0295605,-0.0732059
186,0.186,0.0295605,-0.0732059
187,0.187,0.0295605,-0.0732059
188,0.188,0.0295605,-0.0732059
189,0.189,0.0295605,-0.0732059
190,0.19,0.0295605,-0.0732059
191,0.191,0.0295605,-0.0732059
192,0.192,0.0295605,-0.0732059
193,0.193,0.0295605,-0.0732059
194,0.194,0.0295605,-0.0732059
195,0.195,0.0295605,-0.0732059
196,0.196,0.0295605,-0.0732059
197,0.197,0.0295605,-0.0732059
198,0.198,0.0295605,-0.0732059
199,0.199,0.0295605,-0.0732059
200,0.2,0.0295605,-0.0732059
201,0.201,0.0295605,-0.0732059
202,0.202,0.0295605,-0.0732059
203,0.203,0.0295605,-0.0732059
204,0.204,0.0295605,-0.0732059
205,0.205,0.0295605,-0.0732059
206,0.206,0.0295605,-0.0732059
207,0.207,0.0295605,-0.0732059
208,0.208,0.0295605,-0.0732059
209,0.209,0.0295605,-0.0732059
210,0.21,0.0295605,-0.0732059
211,0.211,0.0295605,-0.0732059
212,0.212,0.0295605,-0.0732059
213,0.213,0.0295605,-0.0732059
214,0.214,0.0295605,-0.0732059
215,0.215,0.0295605,-0.0732059
216,0.216,0.0295605,-0.0732059
217,0.217,0.0295605,-0.0732059
218,0.218,0.0295605,-0.0732059
219,0.219,0.0295605,-0.0732059
220,0.22,0.0295605,-0.0732059
221,0.221,0.0295605,-0.0732059
222,0.222,0.0295605,-0.0732059
223,0.223,0.0295605,-0.0732059
224,0.224,0.0295605,-0.0732059
225,0.225,0.0295605,-0.0732059
226,0.226,0.0295605,-0.0732059
227,0.227,0.0295605,-0.0732059
228,0.228,0.0295605,-0.0732059
229,0.229,0.0295605,-0.0732059
230,0.23,0.0295605,-0.0732059
231,0.231,0.0295605,-0.0732059
232,0.232,0.0295605,-0.0732059
233,0.233,0.0295605,-0.0732059
234,0.234,0.0295605,-0.0732059
235,0.235,0.0295605,-0.0732059
236,0.236,0.0295605,-0.0732059
237,0.237,0.0295605,-0.0732059
238,0.238,0.0295605,-0.0732059
239,0.239,0.0295605,-0.0732059
240,0.24,0.0295605,-0.0732059
241,0.241,0.0295605,-0.0732059
242,0.242,0.0295605,-0.0732059
243,0.243,0.0295605,-0.0732059
244,0.244,0.0295605,-0.0732059
245,0.245,0.0295605,-0.0732059
246,0.246,0.0295605,-0.0732059
247,0.247,0.0295605,-0.0732059
248,0.248,0.0295605,-0.0732059
249,0.249,0.0295605,-0.0732059
250,0.25,0.0295605,-0.0732059
251,0.251,0.0295605,-0.0732059
252,0.252,0.0295605,-0.0732059
253,0.253,0.0295605,-0.0732059
254,0.254,0.0295605,-0.0732059
255,0.255,0.0295605,-0.0732059
256,0.256,0.0295605,-0.0732059
257,0.257,0.0295605,-0.0732059
258,0.258,0.0295605,-0.0732059
259,0.259,0.0295605,-0.0732059
260,0.26,0.0295605,-0.0732059
261,0.261,0.0295605,-0.0732059
262,0.262,0.0295605,-0.0732059
263,0.263,0.0295605,-0.0732059
264,0.264,0.0295605,-0.0732059
265,0.265,0.0295605,-0.0732059
266,0.266,0.0295605,-0.0732059
267,0.267,0.0295605,-0.0732059
268,0.268,0.0295605,-0.0732059
269,0.269,0.0295605,-0.0732059
270,0.27,0.0295605,-0.0732059
271,0.271,0.0295605,-0.0732059
272,0.272,0.0295605,-0.0732059
273,0.273,0.0295605,-0.0732059
274,0.274,0.0295605,-0.0732059
275,0.275,0.0295605,-0.0732059
276,0.276,0.0295605,-0.0732059
277,0.277,0.0295605,-0.0732059
278,0.278,0.0295605,-0.0732059
279,0.279,0.0295605,-0.0732059
280,0.28,0.0295605,-0.0732059
281,0.281,0.0295605,-0.0732059
282,0.282,0.0295605,-0.0732059
283,0.283,0.0295605,-0.0732059
284,0.284,0.0295605,-0.0732059
285,0.285,0.0295605,-0.0732059
286,0.286,0.0295605,-0.0732059
287,0.287,0.0295605,-0.0732059
288,0.288,0.0295605,-0.0732059
289,0.289,0.0295605,-0.0732059
290,0.29,0.0295605,-0.0732059
291,0.291,0.0295605,-0.0732059
292,0.292,0.0295605,-0.0732059
293,0.293,0.0295605,-0.0732059
294,0.294,0.0295605,-0.0732059
295,0.295,0.0295605,-0.0732059
296,0.296,0.0295605,-0.0732059
297,0.297,0.0295605,-0.0732059
298,0.298,0.0295605,-0.0732059
299,0.299,0.0295605,-0.0732059
300,0.3,0.0295605,-0.0732059
301,0.301,0.0295605,-0.0732059
302,0.302,0.0295605,-0.0732059
303,0.303,0.0295605,-0.0732059
304,0.304,0.0295605,-0.0732059
305,0.305,0.0295605,-0.0732059
306,0.306,0.0295605,-0.0732059
307,0.307,0.0295605,-0.0732059
308,0.308,0.0295605,-0.0732059
309,0.309,0.0295605,-0.0732059
310,0.31,0.0295605,-0.0732059
311,0.311,0.0295605,-0.0732059
