;Scopy version,f4beeb1
;Exported on,mardi octobre 08/10/2024
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
238,-0.597,0.0173885
239,-0.596,0.0173885
240,-0.595,0.0173885
241,-0.594,0.0173885
242,-0.593,0.0173885
243,-0.592,0.0173885
244,-0.591,0.0173885
245,-0.59,0.0173885
246,-0.589,0.0173885
247,-0.588,0.0173885
248,-0.587,0.0173885
249,-0.586,0.0173885
250,-0.585,0.0173885
251,-0.584,0.0173885
252,-0.583,0.0173885
253,-0.582,0.0173885
254,-0.581,0.0173885
255,-0.58,0.0173885
256,-0.579,0.0173885
257,-0.578,0.0173885
258,-0.577,0.0173885
259,-0.576,0.0173885
260,-0.575,0.0173885
261,-0.574,0.0173885
262,-0.573,0.0173885
263,-0.572,0.0173885
264,-0.571,0.0173885
265,-0.57,0.0173885
266,-0.569,0.0173885
267,-0.568,0.0173885
268,-0.567,0.0173885
269,-0.566,0.0173885
270,-0.565,0.0173885
271,-0.564,0.0173885
272,-0.563,0.0173885
273,-0.562,0.0173885
274,-0.561,0.0173885
275,-0.56,0.0173885
276,-0.559,0.0173885
277,-0.558,0.0173885
278,-0.557,0.0173885
279,-0.556,0.0173885
280,-0.555,0.0173885
281,-0.554,0.0173885
282,-0.553,0.0173885
283,-0.552,0.0173885
284,-0.551,0.0173885
285,-0.55,0.0173885
286,-0.549,0.0173885
287,-0.548,0.0173885
288,-0.547,0.0173885
289,-0.546,0.0173885
290,-0.545,0.0173885
291,-0.544,0.0173885
292,-0.543,0.0173885
293,-0.542,0.0173885
294,-0.541,0.0173885
295,-0.54,0.0173885
296,-0.539,0.0173885
297,-0.538,0.0173885
298,-0.537,0.0173885
299,-0.536,0.0173885
300,-0.535,0.0173885
301,-0.534,0.0173885
302,-0.533,0.0173885
303,-0.532,0.0173885
304,-0.531,0.0173885
305,-0.53,0.0173885
306,-0.529,0.0173885
307,-0.528,0.0173885
308,-0.527,0.0173885
309,-0.526,0.0173885
310,-0.525,0.0173885
311,-0.524,0.0173885
312,-0.523,0.0173885
313,-0.522,0.0173885
314,-0.521,0.0173885
315,-0.52,0.0173885
316,-0.519,0.0173885
317,-0.518,0.0173885
318,-0.517,0.0173885
319,-0.516,0.0173885
320,-0.515,0.0173885
321,-0.514,0.0173885
322,-0.513,0.0173885
323,-0.512,0.0173885
324,-0.511,0.0173885
325,-0.51,0.0173885
326,-0.509,0.0173885
327,-0.508,0.0173885
328,-0.507,0.0173885
329,-0.506,0.0173885
330,-0.505,0.0173885
331,-0.504,0.0173885
