mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__dropout_conv,param_model__dropout_dense,param_model__learning_rate,param_model__optimizer,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
883.6975638071696,6.157575045245793,2.2581499417622886,0.4258996307660147,0.25,0.5,0.001,adam,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.001, 'model__optimizer': 'adam'}",0.9382345214222944,0.8961155803261066,0.9388827315279374,0.9244109444254461,0.020009593802655573,5
855.6923488775889,6.812909081829876,6.3419655958811445,3.1719833252421408,0.25,0.5,0.001,sgd,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.001, 'model__optimizer': 'sgd'}",0.7357717185773954,0.8980497572602835,0.8846298049679173,0.8394837602685321,0.07353985075540288,14
878.8808319568634,7.787926411600592,2.1742424964904785,0.6334236718768992,0.25,0.5,0.001,rmsprop,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.001, 'model__optimizer': 'rmsprop'}",0.6555192018074114,0.9504004402030718,0.9442749112050749,0.8500648510718527,0.13758727596733786,11
918.2737611929575,4.5040328916246475,1.9577357769012451,0.6220717843662612,0.25,0.5,0.005,adam,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.005, 'model__optimizer': 'adam'}",0.8514824785840069,0.8524946909815331,0.9001511435492622,0.8680427710382673,0.022707808238034633,10
892.5002032121023,5.961233407189237,2.418166399002075,0.44064987583268717,0.25,0.5,0.005,sgd,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.005, 'model__optimizer': 'sgd'}",0.9267677767404842,0.9434211986843566,0.5572841641618934,0.809157713195578,0.1782312124605342,17
916.931161403656,10.791772092785346,5.304093599319458,3.8445741434506973,0.25,0.5,0.005,rmsprop,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.005, 'model__optimizer': 'rmsprop'}",0.658383180380997,0.9410363393916026,0.8680271883314626,0.8224822360346874,0.1198025016000788,16
965.1249721050262,9.663487860441963,1.921183665593465,0.307939637448066,0.25,0.5,0.01,adam,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.01, 'model__optimizer': 'adam'}",0.5961793725440014,0.8966797091797092,0.547359997991,0.6800730265715703,0.15445533128991018,28
929.8248024781545,7.734476939164822,2.148853063583374,0.38523575833483303,0.25,0.5,0.01,sgd,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.01, 'model__optimizer': 'sgd'}",0.952162430000858,0.9508793107477318,0.9505111542306006,0.9511842983263968,0.0007077857419279366,1
960.643220504125,12.216857425563507,2.485438028971354,0.2652761019102769,0.25,0.5,0.01,rmsprop,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.5, 'model__learning_rate': 0.01, 'model__optimizer': 'rmsprop'}",0.7367851277785776,0.7897443930338668,0.7003603294577808,0.7422966167567417,0.036698411304494395,23
967.3934237162272,14.980924351900542,2.405563990275065,0.15442215285847308,0.25,0.75,0.001,adam,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.001, 'model__optimizer': 'adam'}",0.8297669518739388,0.9356852577247314,0.7831347323206889,0.8495289806397864,0.06382694851951382,12
927.303767045339,5.165153135873637,2.617234786351522,0.23189057644841682,0.25,0.75,0.001,sgd,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.001, 'model__optimizer': 'sgd'}",0.8404503762855291,0.8495082768109085,0.8478813292860262,0.8459466607941546,0.003942807554015077,13
952.3476222356161,9.924528213224706,2.436567783355713,0.12318159871604673,0.25,0.75,0.001,rmsprop,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.001, 'model__optimizer': 'rmsprop'}",0.3096144303294958,0.25497835497835497,0.6867847347312459,0.4171258400130322,0.1919778022028074,36
960.5016502539316,7.066863859148797,2.3658302625020347,0.3005510781108295,0.25,0.75,0.005,adam,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.005, 'model__optimizer': 'adam'}",0.8558140852354827,0.9193215410320673,0.6416648020774752,0.805600142781675,0.11878382657665804,18
909.20214899381,16.209709666110193,2.5628987153371177,0.39190256191763206,0.25,0.75,0.005,sgd,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.005, 'model__optimizer': 'sgd'}",0.917103051000431,0.9330456458745932,0.9302148241023974,0.9267878403258072,0.006945010016031889,4
936.7712066173553,14.079191891024804,2.573949416478475,0.22032150209747733,0.25,0.75,0.005,rmsprop,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.005, 'model__optimizer': 'rmsprop'}",0.8164384560126918,0.496832042226779,0.7862211893393223,0.6998305625262643,0.14407074705189765,25
931.7982196807861,14.009813753242742,2.1678644021352134,0.19856588561596739,0.25,0.75,0.01,adam,"{'model__dropout_conv': 0.25, 'model__dropout_dense': 0.75, 'model__learning_rate': 0.01, 'model__optimizer': 'adam'}",0.7993504312281605,0.28850108225108223,0.5308065306100475,0.5395526813630968,0.20864505058803015,33
