SNR (dB),PER
5.218603550460241,1.0
6.218603550460241,1.0
7.218603550460241,1.0
8.21860355046024,1.0
9.21860355046024,1.0
10.21860355046024,0.9
11.21860355046024,0.8
12.21860355046024,0.6
13.21860355046024,0.3
14.21860355046024,0.1
15.21860355046024,0.1
16.21860355046024,0.1
17.21860355046024,0.0
18.21860355046024,0.0
19.21860355046024,0.0
20.21860355046024,0.0
21.21860355046024,0.0
22.21860355046024,0.0
23.21860355046024,0.0
24.21860355046024,0.0
25.21860355046024,0.0
26.21860355046024,0.0
27.21860355046024,0.0
28.21860355046024,0.0
29.21860355046024,0.0
30.21860355046024,0.0
31.21860355046024,0.0
32.218603550460244,0.0
33.218603550460244,0.0
34.218603550460244,0.0
35.218603550460244,0.0
36.218603550460244,0.0
37.218603550460244,0.0
38.218603550460244,0.0
39.218603550460244,0.0
