SNR (dB),PER
2.196129538647442,1.0
3.196129538647442,1.0
4.196129538647442,1.0
5.196129538647442,1.0
6.196129538647442,1.0
7.196129538647442,1.0
8.196129538647442,1.0
9.196129538647442,1.0
10.196129538647442,1.0
11.196129538647442,0.4
12.196129538647442,0.3
13.196129538647442,0.1
14.196129538647442,0.0
15.196129538647442,0.0
16.19612953864744,0.0
17.19612953864744,0.0
18.19612953864744,0.0
19.19612953864744,0.0
20.19612953864744,0.0
21.19612953864744,0.0
22.19612953864744,0.0
23.19612953864744,0.0
24.19612953864744,0.0
25.19612953864744,0.0
26.19612953864744,0.0
27.19612953864744,0.0
28.19612953864744,0.0
29.19612953864744,0.0
30.19612953864744,0.0
31.19612953864744,0.0
32.19612953864744,0.0
33.19612953864744,0.0
34.19612953864744,0.0
35.19612953864744,0.0
36.19612953864744,0.0
