SNR_dB,RMSE_cfo
-1.000000000000000000e+01,7.335938284030212031e-02
-9.000000000000000000e+00,7.335938284030212031e-02
-8.000000000000000000e+00,7.335938284030212031e-02
-7.000000000000000000e+00,7.335938284030212031e-02
-6.000000000000000000e+00,7.335938284030212031e-02
-5.000000000000000000e+00,7.271403815131310955e-02
-4.000000000000000000e+00,7.266940846964746459e-02
-3.000000000000000000e+00,6.925481015111421834e-02
-2.000000000000000000e+00,7.119068742600154209e-02
-1.000000000000000000e+00,7.272460601899718990e-02
0.000000000000000000e+00,2.991360705592661928e-02
1.000000000000000000e+00,7.213845465384545984e-03
2.000000000000000000e+00,5.845848205130871333e-03
3.000000000000000000e+00,4.794862718717924147e-03
4.000000000000000000e+00,4.133029511778424196e-03
5.000000000000000000e+00,3.730995048056274209e-03
6.000000000000000000e+00,3.219582449782693642e-03
7.000000000000000000e+00,2.877473929741916018e-03
8.000000000000000000e+00,2.575848269161960455e-03
9.000000000000000000e+00,2.266346214422273152e-03
1.000000000000000000e+01,2.015130132718678455e-03
1.100000000000000000e+01,1.781168279975714561e-03
1.200000000000000000e+01,1.572750218788589605e-03
1.300000000000000000e+01,1.334708190025720624e-03
1.400000000000000000e+01,1.181738338978069675e-03
1.500000000000000000e+01,1.052031437838574788e-03
1.600000000000000000e+01,9.677647675421484092e-04
1.700000000000000000e+01,8.552936678717702832e-04
1.800000000000000000e+01,7.659790521880682854e-04
1.900000000000000000e+01,6.872733277393410552e-04
2.000000000000000000e+01,6.095413935824226317e-04
2.100000000000000000e+01,5.435105966328627764e-04
2.200000000000000000e+01,4.846347542231178884e-04
2.300000000000000000e+01,4.321368210026965565e-04
2.400000000000000000e+01,3.853257582644202214e-04
